Geographical region,Country of nationality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
*Total,*Total,"2,564,252","2,731,079","2,541,865","2,440,369","2,447,391","2,529,962","2,607,142","2,561,623","2,830,012","2,748,348","2,840,390","2,893,466"
Africa North,*Total Africa North,"88,757","98,003","89,794","95,096","97,478","104,426","90,494","103,250","124,185","117,877","111,458","115,245"
Africa Sub-Saharan,*Total Africa Sub-Saharan,"517,203","466,354","406,022","384,610","433,473","432,010","436,475","430,172","418,843","379,081","377,526","324,554"
America North,*Total America North,"44,321","46,250","46,716","50,510","51,917","53,815","49,767","47,843","51,049","50,924","50,349","47,701"
America Central and South,*Total America Central and South,"75,061","77,307","74,049","70,161","68,373","67,163","61,900","62,354","66,177","79,664","81,659","74,516"
Asia Central,*Total Asia Central,"22,010","30,194","33,685","30,167","26,624","27,886","28,080","28,696","30,292","30,159","26,758","22,984"
Asia East,*Total Asia East,"220,432","245,776","256,754","229,981","223,471","269,482","317,892","333,350","427,366","466,359","557,741","658,781"
Asia South,*Total Asia South,"763,323","882,445","825,071","763,970","765,501","731,899","708,200","624,709","628,588","632,519","694,283","733,110"
Asia South East,*Total Asia South East,"139,478","144,702","150,137","158,669","159,597","169,691","178,879","184,549","200,284","209,594","216,388","240,778"
EU 14,*Total EU 14,109,92,124,86,34,41,50,28,31,15,8,16
EU 2,*Total EU 2,"68,045","71,585",105,74,58,34,35,23,27,24,4,1
EU 8,*Total EU 8,83,114,123,128,36,32,24,18,9,19,15,11
EU Other,*Total EU Other,"18,193","4,359","1,635","1,515","1,317","1,174",928,960,618,332,336,385
Europe Other,*Total Europe Other,"322,820","356,841","363,170","341,711","313,458","351,080","390,235","404,579","460,840","410,554","343,513","347,279"
Middle East,*Total Middle East,"218,029","243,437","233,689","258,584","260,362","277,855","304,985","305,887","384,470","332,642","338,743","288,817"
Oceania,*Total Oceania,"52,095","50,356","46,459","41,326","33,992","33,154","30,392","26,632","28,029","29,844","32,763","29,961"
Other,*Total Other,"14,293","13,264","14,332","13,781","11,700","10,220","8,806","8,573","9,204","8,741","8,846","9,327"
Asia Central,Afghanistan,"5,117","8,841","9,000","7,706","6,110","6,862","5,902","5,286","5,400","5,741","4,609","3,974"
Europe Other,Albania,"15,629","13,247","11,901","10,572","7,829","7,830","7,455","7,445","7,050","7,061","8,453","10,178"
Africa North,Algeria,"13,381","14,879","15,234","18,193","16,981","14,373","15,240","16,241","22,455","21,890","23,773","27,579"
Oceania,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0
Europe Other,Andorra,5,10,12,3,5,4,3,3,5,14,11,9
Africa Sub-Saharan,Angola,"4,461","4,754","4,966","4,763","3,995","3,820","3,904","4,068","4,792","4,670","4,869","3,666"
Other,Anguilla (British),2,1,2,1,1,0,0,0,1,0,0,0
America Central and South,Antigua and Barbuda,42,53,51,74,35,46,29,24,21,35,24,47
America Central and South,Argentina,885,945,913,819,899,"1,008",957,971,"1,012",889,"1,208","1,056"
Europe Other,Armenia,"1,798","1,892","2,111","2,097","2,095","2,402","2,623","2,641","2,792","2,738","2,726","2,605"
America Central and South,Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Australia,"37,969","37,073","33,252","29,030","25,312","24,168","22,014","18,970","19,791","21,869","23,083","21,652"
EU 14,Austria,3,4,8,3,0,3,1,0,0,1,0,0
Europe Other,Azerbaijan,"4,458","5,018","5,522","5,423","5,659","6,557","6,926","8,293","9,526","9,954","8,755","6,925"
America Central and South,"Bahamas, The",139,147,141,122,131,116,114,99,112,88,74,109
Middle East,Bahrain,"6,850","7,938","7,472","8,693","8,026","9,004","9,233","10,004","12,669","11,359","12,175","14,021"
Asia South,Bangladesh,"43,765","50,043","47,187","47,180","53,062","43,490","37,616","31,750","33,114","33,189","29,215","25,555"
America Central and South,Barbados,427,400,359,366,267,256,207,209,214,203,205,190
Europe Other,Belarus,"11,925","11,800","12,022","10,878","9,471","9,295","9,985","10,477","11,928","10,830","10,118","10,511"
EU 14,Belgium,1,6,7,7,0,1,1,1,1,4,0,0
America Central and South,Belize,47,46,44,52,48,42,55,24,40,37,58,47
Africa Sub-Saharan,Benin,943,763,700,724,737,749,597,564,581,462,494,538
Other,Bermuda (British),2,3,0,0,0,2,5,0,0,0,2,0
Asia South,Bhutan,156,151,144,113,154,280,325,119,239,127,156,200
America Central and South,Bolivia,331,374,389,275,"1,104","1,185","1,178","1,129","1,068","1,069","1,246","1,492"
America Central and South,"Bonaire, Sint Eustatius and Saba",z,z,z,z,z,z,0,0,0,0,0,0
Europe Other,Bosnia and Herzegovina,"3,831","4,041","4,004","4,186","3,643","3,639","3,717","3,482","3,574","3,293","2,883","2,852"
Africa Sub-Saharan,Botswana,827,949,"1,241","1,014",507,490,364,446,328,293,330,290
America Central and South,Brazil,"8,976","10,427","8,653","9,560","7,286","6,158","4,767","5,152","7,405","7,639","6,056","4,625"
Other,British overseas citizens,259,183,157,174,137,117,97,62,54,41,30,22
Asia South East,Brunei,847,"1,015","1,244","1,281","1,276","1,259","1,299","1,194","1,150","1,038",812,650
EU 2,Bulgaria,"28,039","29,427",32,12,13,16,8,6,9,16,1,1
Africa Sub-Saharan,Burkina,369,381,387,369,382,409,346,334,339,344,353,405
Asia South East,Burma,"2,381","2,458","2,884","2,634","2,933","2,525","2,091","2,204","2,491","2,830","3,181","3,741"
Africa Sub-Saharan,Burundi,468,387,350,412,404,388,270,248,237,226,245,250
Asia South East,Cambodia,316,447,424,517,616,693,644,783,843,"1,062","1,234","1,310"
Africa Sub-Saharan,Cameroon,"7,926","8,226","7,585","7,230","6,251","6,030","6,366","6,208","5,493","5,509","5,177","5,379"
America North,Canada,"12,210","11,979","11,283","11,939","11,978","12,373","11,637","10,962","11,831","11,850","12,141","11,211"
Africa Sub-Saharan,Cape Verde,238,290,362,236,208,211,107,124,137,174,176,167
Other,Cayman Islands (British),4,3,3,1,0,0,1,0,0,0,0,0
Africa Sub-Saharan,Central African Republic,83,128,90,132,85,79,63,74,65,65,75,68
Africa Sub-Saharan,Chad,176,171,200,204,129,113,123,132,130,131,158,132
America Central and South,Chile,745,774,931,833,844,"1,041",985,937,"1,083","1,068","1,089","1,136"
Asia East,China,"146,115","167,826","183,528","166,557","185,758","234,508","283,026","296,771","389,165","427,818","519,439","620,674"
Oceania,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Colombia,"19,458","20,953","21,658","22,757","22,373","24,011","24,224","24,977","26,554","28,790","27,777","25,802"
Africa Sub-Saharan,Comoros,65,59,43,61,67,79,102,166,263,215,282,361
Africa Sub-Saharan,Congo,"1,752","2,011","1,699","1,529","1,533","1,076","1,090","1,021","1,000",741,747,714
Africa Sub-Saharan,Congo (Democratic Republic),"6,633","6,432","6,132","5,276","4,704","3,607","3,593","3,621","3,560","3,729","3,671","3,773"
Oceania,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Costa Rica,55,74,96,88,91,91,95,101,117,150,116,148
EU Other,Croatia,"16,863","3,148",618,600,500,508,444,429,114,8,11,6
America Central and South,Cuba,"2,737","2,819","2,566","2,225","1,927","1,863","1,603","1,561","1,778","1,658","2,284","1,745"
America Central and South,Curacao,z,z,z,z,z,z,0,0,0,0,0,0
EU Other,Cyprus,"1,297","1,202","1,015",915,817,666,484,531,504,324,324,379
Europe Other,Cyprus (Northern part of),0,0,0,0,0,0,0,0,0,12,1,4
EU 8,Czech Republic,3,28,37,52,1,1,2,1,0,0,1,0
EU 14,Denmark,6,2,3,4,1,3,0,2,1,0,0,0
Africa Sub-Saharan,Djibouti,326,306,248,221,207,192,192,226,222,184,224,192
America Central and South,Dominica,102,133,105,95,60,70,57,49,41,46,59,63
America Central and South,Dominican Republic,"1,791","1,700","2,011","1,563","1,472","1,367","1,357","1,274","1,431","1,656","2,122","2,154"
Asia South East,East Timor,0,0,5,50,19,11,12,8,13,7,8,6
America Central and South,Ecuador,"4,168","4,675","4,444","3,814","3,462","3,569","2,991","3,207","3,433","3,810","4,536","4,541"
Africa North,Egypt,"26,568","30,920","31,328","32,166","36,059","41,171","40,941","42,492","44,332","43,424","47,123","46,887"
America Central and South,El Salvador,49,57,50,54,46,51,51,31,45,41,63,61
Africa Sub-Saharan,Equatorial Guinea,274,290,262,231,192,204,207,185,217,123,125,163
Africa Sub-Saharan,Eritrea,"1,956","2,062","2,089","2,305","2,043","1,823","1,789","1,525","1,553","1,582","2,036","2,266"
EU 8,Estonia,7,8,33,7,0,0,1,2,2,8,1,2
Africa Sub-Saharan,Ethiopia,"5,695","5,844","5,304","5,192","5,016","4,623","4,179","4,452","4,401","4,139","4,699","4,836"
Other,Falkland Islands (British),0,0,0,0,0,0,0,0,0,0,0,0
Europe Other,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Fiji,"1,455","1,240","1,416","1,587","1,380","1,203","1,189","1,134","1,578",892,"1,193","1,294"
EU 14,Finland,0,1,4,3,0,1,1,0,2,0,0,1
Europe Other,Former Yugoslavia,z,z,"18,690","17,386","6,498",985,314,18,3,4,0,0
EU 14,France,8,10,19,8,5,2,3,1,2,1,1,1
America Central and South,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0
Africa Sub-Saharan,Gabon,518,564,566,482,409,357,414,477,399,359,380,338
Africa Sub-Saharan,"Gambia, The","8,179","7,397","7,017","6,783","5,250","5,038","4,377","4,067","4,043","3,638","3,762","3,543"
Europe Other,Georgia,"4,509","5,035","5,625","5,700","5,360","5,097","5,373","5,593","5,576","5,667","6,116","5,641"
EU 14,Germany,8,15,10,14,3,13,5,4,6,1,3,5
Africa Sub-Saharan,Ghana,"61,986","50,362","41,516","35,971","28,324","30,290","36,554","38,992","36,946","29,216","32,326","32,565"
Other,Gibraltar (British),1,0,0,1,0,0,0,0,0,0,0,0
EU 14,Greece,0,2,17,1,2,1,2,2,0,0,0,4
Europe Other,Greenland,0,0,1,0,0,0,0,0,0,0,0,0
America Central and South,Grenada,165,163,161,161,112,107,90,82,84,62,84,63
America Central and South,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Guam,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Guatemala,71,79,91,92,77,78,52,34,44,63,52,59
Africa Sub-Saharan,Guinea,"2,127","2,370","1,926","1,719","1,278","1,170","1,088","1,166","1,053",751,898,"1,002"
Africa Sub-Saharan,Guinea-Bissau,221,327,278,242,211,287,232,203,268,269,377,278
America Central and South,Guyana,"3,191","2,982","2,647","1,724","1,386","1,379","1,094","1,112","1,173","1,096","1,148","1,122"
America Central and South,Haiti,349,325,311,267,243,291,264,269,282,238,306,287
Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Honduras,56,44,54,40,63,58,58,59,48,60,64,69
Asia East,Hong Kong,"7,220","7,225","7,185","7,212","7,755","8,691","8,923","10,177","11,373","12,302","12,338","12,348"
EU 8,Hungary,16,14,6,9,1,3,0,0,0,1,1,2
Europe Other,Iceland,7,3,9,20,13,5,8,0,2,4,2,2
Asia South,India,"457,761","521,706","509,226","482,477","489,326","491,283","463,729","430,549","443,374","448,820","505,410","552,645"
Asia South East,Indonesia,"19,080","20,187","22,092","20,728","22,715","29,100","35,052","37,009","40,315","39,881","39,817","50,265"
Middle East,Iran,"41,935","47,147","45,532","43,352","32,351","35,584","37,679","14,625","15,097","15,384","17,827","21,134"
Middle East,Iraq,"12,465","13,494","11,866","10,983","11,943","10,675","12,214","13,616","17,120","18,072","12,698","10,056"
EU 14,Ireland,15,19,16,5,3,2,4,4,7,4,1,0
Middle East,Israel,"3,451","2,354","1,837","1,525","1,256","1,279",996,"1,120","1,168","1,074","1,099","1,124"
EU 14,Italy,2,2,7,6,7,3,10,8,4,1,0,1
Africa Sub-Saharan,Ivory Coast,"4,247","3,469","3,201","2,939","2,657","2,483","2,300","2,272","2,481","2,267","2,501","2,385"
America Central and South,Jamaica,"19,814","17,634","15,091","13,229","11,976","10,926","10,045","10,121","9,064","8,775","9,254","9,507"
Asia East,Japan,"14,860","14,506","13,041","11,863","10,988","9,940","10,373","10,087","9,913","9,891","9,599","9,284"
Middle East,Jordan,"13,548","13,863","12,938","12,702","13,217","13,464","14,325","14,254","16,327","16,720","16,951","17,354"
Asia Central,Kazakhstan,"9,680","13,648","15,500","14,090","14,011","15,314","16,480","17,572","18,835","18,427","16,304","13,114"
Africa Sub-Saharan,Kenya,"19,869","19,332","18,193","18,667","17,707","17,172","16,960","16,645","16,557","18,096","17,654","18,030"
Oceania,Kiribati,3,1,1,2,1,0,2,0,6,5,0,5
Asia East,Korea (North),42,42,25,35,22,24,15,39,17,21,22,31
Asia East,Korea (South),"12,026","12,534","11,458","10,397","9,472","9,367","8,826","8,387","9,331","8,867","8,693","8,571"
Europe Other,Kosovo,z,z,53,269,"2,902","4,039","4,469","4,461","4,535","4,361","4,926","4,818"
Middle East,Kuwait,"41,133","41,784","37,131","41,445","45,294","49,077","61,263","63,760","90,544","92,471","91,604","27,485"
Asia Central,Kyrgyzstan,982,"1,350","1,319","1,237","1,248","1,036",994,986,"1,026","1,068","1,066","1,163"
Asia South East,Laos,175,146,165,181,181,188,190,272,373,630,631,706
EU 8,Latvia,31,27,26,35,18,19,14,9,6,10,12,5
Middle East,Lebanon,"13,432","14,027","14,276","12,047","12,635","14,004","14,830","15,604","18,780","19,019","19,386","20,294"
Africa Sub-Saharan,Lesotho,144,178,90,79,268,360,331,246,279,317,288,292
Africa Sub-Saharan,Liberia,817,712,716,686,524,493,450,485,508,388,459,393
Africa North,Libya,"16,587","18,126","14,283","18,932","18,026","21,332","5,599","14,461","25,159","20,275","5,732","3,527"
Europe Other,Liechtenstein,0,0,0,2,0,1,1,0,0,0,0,1
EU 8,Lithuania,7,12,3,3,3,1,1,0,0,0,0,0
EU 14,Luxembourg,0,0,0,0,0,0,0,1,0,0,0,0
Asia East,Macau,123,113,121,154,158,186,193,195,222,276,329,333
Europe Other,Macedonia,"3,371","3,847","3,670","3,816","3,564","3,581","3,852","3,512","3,800","3,546","3,681","3,697"
Africa Sub-Saharan,Madagascar,435,429,468,487,425,424,433,448,469,438,504,506
Africa Sub-Saharan,Malawi,"2,158","4,416","4,362","3,673","2,839","2,651","2,321","2,211","2,160","1,876","2,022","2,132"
Asia South East,Malaysia,"9,265","9,501","11,844","12,116","10,163","10,046","9,398","9,640","11,848","12,521","11,813","10,188"
Asia South,Maldives,168,169,135,177,167,152,147,130,173,148,141,124
Africa Sub-Saharan,Mali,794,866,712,813,701,655,568,625,554,533,528,560
EU Other,Malta,33,9,2,0,0,0,0,0,0,0,1,0
Oceania,Marshall Islands,2,0,2,0,0,0,0,1,0,2,1,2
America Central and South,Martinique,0,0,0,0,0,0,0,0,0,0,0,0
Africa North,Mauritania,341,398,316,263,211,197,236,256,291,275,270,297
Africa Sub-Saharan,Mauritius,"4,496","4,534","3,960","3,345","2,447","1,918","1,396","1,061",939,967,912,871
Africa Sub-Saharan,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Mexico,"2,326","2,594","2,685","2,699","2,444","2,363","2,383","2,247","2,190","2,504","2,624","2,574"
Oceania,Micronesia,0,0,2,1,0,1,3,0,0,1,1,1
Europe Other,Moldova,"4,417","4,447","3,812","2,481","2,176","1,939","1,989","1,887","1,879","1,672","1,753","1,749"
Europe Other,Monaco,3,4,6,7,4,15,15,18,10,17,14,17
Asia East,Mongolia,"1,818","2,143","3,626","3,280","2,814","2,348","2,120","2,477","2,291","2,077","2,122","2,446"
Europe Other,Montenegro,z,z,10,549,"1,206","1,996","1,900","1,746","2,098","1,544","1,210","1,326"
Other,Montserrat (British),0,1,0,2,1,0,0,0,1,0,0,0
Africa North,Morocco,"16,589","17,440","12,518","11,364","12,261","12,295","13,728","14,572","16,097","16,774","18,876","20,120"
Africa Sub-Saharan,Mozambique,955,990,839,934,862,855,772,"1,106","1,104","1,271","1,163","1,021"
Africa Sub-Saharan,Namibia,517,373,415,333,223,194,168,144,133,174,160,155
Oceania,Nauru,0,10,2,1,1,3,0,0,0,0,0,0
Asia South,Nepal,"13,894","22,963","18,138","12,867","34,212","18,532","14,929","12,061","11,040","10,582","12,382","13,722"
EU 14,Netherlands,23,14,8,11,4,1,3,1,2,0,2,1
America Central and South,Netherlands Antilles,0,0,0,0,0,0,z,z,z,z,z,z
Oceania,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,New Zealand,"12,521","11,914","11,644","10,602","7,197","7,700","7,105","6,463","6,565","6,954","8,400","6,937"
America Central and South,Nicaragua,23,26,38,40,26,28,26,25,23,25,37,30
Africa Sub-Saharan,Niger,271,296,315,258,217,226,209,296,232,205,201,189
Africa Sub-Saharan,Nigeria,"263,487","239,913","205,862","197,838","183,856","182,360","191,093","191,004","190,698","168,370","149,358","112,062"
Oceania,Niue,0,1,0,2,1,1,0,0,0,0,1,0
Oceania,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0
Europe Other,Norway,2,6,5,22,6,3,3,3,2,1,1,0
Middle East,Occupied Palestinian Territories,"2,989","2,917","2,430","3,179","3,469","3,579","3,725","3,814","4,500","4,281","4,700","4,704"
Middle East,Oman,"6,832","7,261","7,540","9,521","8,206","8,801","7,325","12,577","15,292","4,643","4,922","3,793"
Other,Other and unknown,"9,616","9,117","10,281","7,178","4,131","3,784","3,423","3,781","4,031","3,697","2,736","2,725"
Asia South,Pakistan,"207,113","242,863","207,849","181,024","147,717","135,529","155,693","122,266","112,885","112,889","117,057","110,228"
Oceania,Palau,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Panama,70,61,74,94,83,62,52,72,63,63,84,83
Oceania,Papua New Guinea,55,38,66,46,48,33,27,24,27,56,30,35
America Central and South,Paraguay,50,49,62,59,56,48,52,35,50,42,63,85
America Central and South,Peru,"5,420","6,168","6,373","5,379","5,265","5,488","5,488","5,751","6,230","6,765","8,129","9,038"
Asia South East,Philippines,"53,582","57,325","54,438","62,570","59,216","54,546","51,379","52,576","51,991","61,244","65,798","71,508"
Other,Pitcairn Islands (British),1,1,1,0,0,0,0,0,0,0,0,0
EU 8,Poland,8,19,9,11,11,7,4,3,1,0,0,1
EU 14,Portugal,1,0,5,7,1,2,3,1,2,0,0,0
America North,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0
Middle East,Qatar,"8,446","12,389","12,381","14,333","11,223","15,479","15,958","20,451","26,547","10,920","11,203","10,035"
Other,Refugee,"2,052","1,744","2,150","4,920","6,220","5,295","4,519","4,268","4,821","4,735","5,808","6,272"
Africa Sub-Saharan,Reunion,0,0,0,0,0,0,0,0,0,0,0,0
EU 2,Romania,"40,006","42,158",73,62,45,18,27,17,18,8,3,0
Europe Other,Russia,"143,614","162,253","169,200","148,276","133,794","154,818","185,743","198,626","238,563","198,391","128,357","122,114"
Africa Sub-Saharan,Rwanda,863,886,972,"1,072",998,"1,066",881,903,"1,188","1,139","1,067",950
Oceania,Samoa,32,34,21,14,21,19,21,17,26,22,17,5
Europe Other,San Marino,2,4,8,4,2,3,3,0,3,0,3,1
Africa Sub-Saharan,Sao Tome and Principe,177,208,162,133,112,101,55,42,66,116,115,77
Middle East,Saudi Arabia,"36,463","44,127","48,402","64,808","78,457","79,620","87,355","95,644","114,652","117,902","122,528","135,586"
Africa Sub-Saharan,Senegal,"2,766","2,740","2,948","3,168","2,577","2,456","2,316","2,362","2,042","1,980","2,137","2,079"
Europe Other,Serbia,z,z,426,"1,092","9,200","14,260","14,873","14,689","14,469","13,793","13,143","13,631"
Europe Other,Serbia and Montenegro,"21,634","21,814",z,z,z,z,z,z,z,z,z,z
Africa Sub-Saharan,Seychelles,270,253,235,172,165,158,114,102,111,117,154,136
Africa Sub-Saharan,Sierra Leone,"8,192","9,139","7,839","5,617","4,759","4,289","3,809","3,688","3,606","3,396","3,061","3,309"
Asia South East,Singapore,"1,995","2,196","2,183","2,378","2,403","3,051","3,140","3,441","3,934","3,970","3,911","3,777"
EU 8,Slovakia,10,5,4,3,1,0,0,0,0,0,0,1
EU 8,Slovenia,1,1,5,8,1,1,2,3,0,0,0,0
Oceania,Solomon Islands,15,8,11,10,7,4,4,4,6,8,3,9
Africa Sub-Saharan,Somalia,"7,682","6,813","5,105","4,663","4,194","4,263","2,986","2,475","1,929","1,531","1,414","1,437"
Africa Sub-Saharan,South Africa,"35,903","27,547","21,236","22,857","109,949","116,339","113,356","106,116","98,061","89,606","101,571","86,575"
Other,South Georgia and South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0
EU 14,Spain,10,7,14,6,3,5,10,1,4,2,1,0
Asia South,Sri Lanka,"40,466","44,550","42,392","40,132","40,863","42,633","35,761","27,834","27,763","26,764","29,922","30,636"
Other,St. Helena (British),0,5,0,1,0,0,0,0,0,0,0,0
America Central and South,St. Kitts and Nevis,29,34,25,37,25,25,36,67,53,90,133,170
America Central and South,St. Lucia,358,390,333,341,243,185,138,118,112,109,171,123
America Central and South,St. Maarten (Dutch Part),z,z,z,z,z,z,0,0,0,0,0,0
America Central and South,St. Martin (French Part),0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,St. Vincent and the Grenadines,183,211,177,165,122,131,98,103,96,73,72,65
Other,Stateless,"2,356","2,204","1,737","1,500","1,210","1,022",760,461,296,268,269,307
Africa North,Sudan,"9,669","10,958","10,682","9,204","8,917","9,759","9,479","9,271","9,123","8,818","8,772","8,979"
Africa Sub-Saharan,Sudan (South),z,z,z,z,z,z,0,0,297,289,358,376
America Central and South,Surinam,258,201,281,182,146,135,114,147,177,111,129,97
Europe Other,Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0
Africa Sub-Saharan,Swaziland,500,248,165,111,421,485,370,452,362,360,380,368
EU 14,Sweden,32,10,6,11,5,4,7,2,0,1,0,3
Europe Other,Switzerland,5,35,19,9,1,3,5,1,2,2,3,1
Middle East,Syria,"7,842","9,020","7,023","7,661","8,785","8,028","8,395","6,983","7,563","7,905","11,204","12,487"
Asia East,Taiwan,"38,228","41,387","37,770","30,483","6,504","4,418","4,416","5,217","5,054","5,107","5,199","5,094"
Asia Central,Tajikistan,428,435,427,459,358,425,375,447,446,464,380,420
Africa Sub-Saharan,Tanzania,"9,348","8,934","9,108","8,566","7,331","6,337","6,068","5,928","5,875","6,188","5,775","5,427"
Asia South East,Thailand,"45,034","43,915","46,331","46,545","51,002","56,883","62,319","63,996","72,913","71,532","71,368","79,366"
Africa Sub-Saharan,Togo,771,703,607,688,549,526,444,453,440,412,428,412
Oceania,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Tonga,38,35,35,25,24,20,21,18,28,32,28,18
America Central and South,Trinidad and Tobago,"1,907","1,602","1,594","1,355","1,054","1,049",703,547,566,539,533,506
Africa North,Tunisia,"5,622","5,282","5,433","4,974","5,023","5,299","5,271","5,957","6,728","6,421","6,912","7,855"
Europe Other,Turkey,"73,182","84,571","86,037","92,527","86,364","97,874","98,701","100,196","108,298","107,281","111,869","119,535"
Asia Central,Turkmenistan,"2,233","1,828","1,413","1,445","1,636","1,532","1,467","1,381","1,078",994,971,862
Other,Turks and Caicos Islands (British),0,2,1,1,0,0,1,0,0,0,1,0
Oceania,Tuvalu,4,0,1,1,0,0,2,0,0,0,2,0
Africa Sub-Saharan,Uganda,"13,657","10,747","10,144","10,840","9,482","8,624","8,140","8,068","7,819","7,852","7,448","7,599"
Europe Other,Ukraine,"34,419","38,806","40,015","36,385","33,656","36,728","42,268","41,479","46,720","40,365","39,487","41,662"
Middle East,United Arab Emirates,"18,412","22,469","19,854","23,967","21,636","25,310","28,416","30,131","40,618","8,992","8,879","7,566"
America North,United States,"32,111","34,271","35,433","38,571","39,939","41,442","38,130","36,881","39,218","39,074","38,208","36,490"
America Central and South,Uruguay,84,81,83,99,80,108,87,72,75,86,120,90
Asia Central,Uzbekistan,"3,570","4,092","6,026","5,230","3,261","2,717","2,862","3,024","3,507","3,465","3,428","3,451"
Oceania,Vanuatu,1,2,6,5,0,2,4,1,2,3,4,3
Europe Other,Vatican City,9,8,12,7,10,6,9,9,5,4,1,0
America Central and South,Venezuela,755,"1,086","1,558","1,501","4,927","3,828","2,450","1,748","1,493","11,784","11,739","7,332"
Asia South East,Vietnam,"6,803","7,512","8,527","9,669","9,073","11,389","13,355","13,426","14,413","14,879","17,815","19,261"
Other,Virgin Islands (British),0,0,0,2,0,0,0,1,0,0,0,1
America North,Virgin Islands (US),0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0
Africa North,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,1
Middle East,Yemen,"4,231","4,647","5,007","4,368","3,864","3,951","3,271","3,304","3,593","3,900","3,567","3,178"
Africa Sub-Saharan,Zambia,"6,049","6,337","6,262","5,624","4,749","4,734","4,493","4,483","4,563","4,150","4,197","3,938"
Africa Sub-Saharan,Zimbabwe,"27,612","22,218","19,145","15,951","13,529","11,806","10,485","10,258","10,343","10,223","12,267","12,349"
